City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain L3H,Snow L3H
137,Skibbereen,IE,51.55,-9.27,44.6,87,75,14.99,light rain,0.0,0.0
138,Warrnambool,AU,-38.38,142.48,46.99,89,46,7.0,scattered clouds,0.0,0.0
139,Cidreira,BR,-30.17,-50.22,69.64,92,100,20.51,light rain,1.06,0.0
140,Abha,SA,18.22,42.5,62.6,45,40,9.17,scattered clouds,0.0,0.0
141,Tolaga Bay,NZ,-38.37,178.3,62.11,81,33,16.69,scattered clouds,0.0,0.0
142,Portland,US,43.66,-70.25,46.99,36,75,5.82,broken clouds,0.0,0.0
143,Meulaboh,ID,4.14,96.13,80.53,77,100,6.4,moderate rain,3.44,0.0
144,Yulara,AU,-25.24,130.99,66.2,13,39,1.12,scattered clouds,0.0,0.0
145,Rioja,PE,-6.06,-77.17,81.1,59,58,2.57,light rain,3.0,0.0
146,Goderich,CA,43.74,-81.71,42.01,91,100,8.01,overcast clouds,0.0,0.0
147,Port Hardy,CA,50.7,-127.42,48.2,100,90,2.24,fog,0.0,0.0
148,Koslan,RU,63.46,48.9,24.49,96,100,5.61,light snow,0.0,1.13
149,Bulaevo,KZ,54.91,70.44,22.03,48,100,4.27,overcast clouds,0.0,0.0
150,Hetauda,NP,27.43,85.03,57.2,93,20,2.24,few clouds,0.0,0.0
151,Makakilo City,US,21.35,-158.09,75.99,88,1,2.93,clear sky,0.0,0.0
152,Cao Bang,VN,22.67,106.25,59.38,77,86,1.97,overcast clouds,0.0,0.0
153,Puerto Ayora,EC,-0.74,-90.35,77.0,65,75,14.99,broken clouds,0.0,0.0
154,Heze,CN,35.25,115.45,54.03,28,0,3.89,clear sky,0.0,0.0
155,Bontang,ID,0.12,117.47,79.54,82,36,4.41,light rain,1.88,0.0
156,Luganville,VU,-15.51,167.18,68.7,96,45,0.87,scattered clouds,0.0,0.0
157,Nakano,JP,35.72,139.66,59.0,72,75,9.17,broken clouds,0.0,0.0
158,Joshimath,IN,30.57,79.57,41.18,34,49,7.11,scattered clouds,0.0,0.0
159,Chirongui,YT,-12.93,45.15,80.6,83,20,5.82,few clouds,0.0,0.0
160,Fortuna,US,40.6,-124.16,53.01,93,1,3.36,light rain,0.0,0.0
161,Uelzen,DE,52.97,10.56,39.0,85,0,1.12,fog,0.0,0.0
162,Mzimba,MW,-11.9,33.6,67.55,64,58,6.2,broken clouds,0.0,0.0
163,Geraldton,CA,49.72,-86.95,5.0,65,75,11.41,broken clouds,0.0,0.0
164,Stokmarknes,NO,68.56,14.91,28.4,61,0,6.93,clear sky,0.0,0.0
165,Sept-Iles,CA,50.2,-66.38,33.8,80,90,17.22,light snow,0.0,0.0
166,Dalhousie,CA,48.06,-66.37,33.8,59,90,8.05,overcast clouds,0.0,0.0
167,Kaitangata,NZ,-46.28,169.85,46.99,77,100,5.99,overcast clouds,0.0,0.0
168,Yeppoon,AU,-23.13,150.74,59.0,58,42,1.3,scattered clouds,0.0,0.0
169,Ilulissat,GL,69.22,-51.1,41.0,30,75,24.16,broken clouds,0.0,0.0
170,Tabou,CI,4.42,-7.36,78.84,86,31,3.83,light rain,2.13,0.0
